Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
35.17,184.18,-1.24
34.87,184.19,-0.83
34.85,184.2,-0.08
34.63,184.21,-0.6
34.4,184.22,-0.66
34.15,184.23,-0.71
34.14,184.24,-0.04
34.09,184.25,-0.13
34.56,184.26,1.33
33.87,184.27,-1.95
33.41,184.28,-1.32
33.4,184.29,-0.02
33.98,184.3,1.64
34.42,184.31,1.24
35.02,184.32,1.71
34.65,184.33,-1.05
34.81,184.34,0.45
34.57,184.35,-0.7
34.18,184.36,-1.1
34.26,184.37,0.23
34.31,184.38,0.14
34.63,184.39,0.91
35.29,184.4,1.87
35.51,184.41,0.63
35.64,184.42,0.37
35.34,184.43,-0.85
35.43,184.44,0.24
35.13,184.45,-0.84
34.66,184.46,-1.31
34.63,184.47,-0.09
34.69,184.48,0.18
34.81,184.49,0.33
34.78,184.5,-0.08
34.56,184.51,-0.64
34.75,184.52,0.54
35.14,184.53,1.11
34.65,184.54,-1.39
34.43,184.55,-0.63
34.44,184.56,0.03
34.45,184.57,0.05
34.58,184.58,0.35
34.41,184.59,-0.46
34.67,184.6,0.73
34.65,184.61,-0.07
35.14,184.62,1.39
35.35,184.63,0.61
35.64,184.64,0.81
35.4,184.65,-0.68
34.7,184.66,-2.0
34.47,184.67,-0.65
33.94,184.68,-1.48
33.9,184.69,-0.12
34.09,184.7,0.54
34.49,184.71,1.14
34.54,184.72,0.12
34.16,184.73,-1.07
34.19,184.74,0.09
33.8,184.75,-1.1
34.04,184.76,0.66
34.21,184.77,0.5
34.1,184.78,-0.31
34.09,184.79,-0.03
33.86,184.8,-0.66
34.06,184.81,0.56
33.96,184.82,-0.27
34.18,184.83,0.62
34.31,184.84,0.37
34.86,184.85,1.56
34.89,184.86,0.08
34.23,184.87,-1.88
34.21,184.88,-0.04
34.23,184.89,0.05
33.73,184.9,-1.43
33.76,184.91,0.1
33.85,184.92,0.26
34.09,184.93,0.68
34.64,184.94,1.56
34.63,184.95,-0.03
34.13,184.96,-1.43
33.98,184.97,-0.41
34.45,184.98,1.34
34.32,184.99,-0.38
34.11,185.0,-0.59
33.83,185.01,-0.79
33.71,185.02,-0.35
33.42,185.03,-0.8
32.79,185.04,-1.79
32.72,185.05,-0.22
32.46,185.06,-0.74
32.76,185.07,0.86
33.11,185.08,1.0
33.52,185.09,1.17
