Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
35.12,704.4,0.73
35.02,704.41,-0.29
34.91,704.42,-0.3
34.76,704.43,-0.42
34.88,704.44,0.32
34.97,704.45,0.27
34.72,704.46,-0.73
34.35,704.47,-1.03
33.94,704.48,-1.18
33.79,704.49,-0.44
33.74,704.5,-0.12
34.03,704.51,0.8
34.06,704.52,0.08
34.24,704.53,0.53
34.32,704.54,0.22
34.66,704.55,0.96
34.76,704.56,0.3
34.66,704.57,-0.28
34.84,704.58,0.49
34.75,704.59,-0.25
34.91,704.6,0.47
34.79,704.61,-0.34
34.81,704.62,0.04
34.78,704.63,-0.06
34.67,704.64,-0.34
34.37,704.65,-0.84
34.36,704.66,-0.04
34.34,704.67,-0.06
34.15,704.68,-0.52
34.01,704.69,-0.4
34.08,704.7,0.19
34.12,704.71,0.11
34.32,704.72,0.55
34.6,704.73,0.82
34.37,704.74,-0.66
34.43,704.75,0.17
34.58,704.76,0.41
34.33,704.77,-0.71
34.43,704.78,0.29
34.37,704.79,-0.18
34.01,704.8,-0.99
34.27,704.81,0.71
34.19,704.82,-0.22
34.27,704.83,0.24
34.42,704.84,0.43
34.82,704.85,1.11
34.9,704.86,0.25
34.83,704.87,-0.2
34.72,704.88,-0.33
34.61,704.89,-0.32
34.93,704.9,0.92
34.84,704.91,-0.25
34.89,704.92,0.13
34.71,704.93,-0.5
34.61,704.94,-0.27
34.89,704.95,0.79
34.5,704.96,-1.1
34.53,704.97,0.09
34.52,704.98,-0.04
34.3,704.99,-0.63
34.25,705.0,-0.14
34.55,705.01,0.86
34.93,705.02,1.07
34.99,705.03,0.16
35.27,705.04,0.8
35.29,705.05,0.04
34.98,705.06,-0.87
34.41,705.07,-1.61
34.04,705.08,-1.05
34.16,705.09,0.32
34.4,705.1,0.68
34.33,705.11,-0.2
34.08,705.12,-0.7
34.02,705.13,-0.17
34.19,705.14,0.49
34.4,705.15,0.58
34.4,705.16,0.01
34.01,705.17,-1.11
33.41,705.18,-1.7
33.37,705.19,-0.11
33.78,705.2,1.17
33.9,705.21,0.33
34.39,705.22,1.4
34.88,705.23,1.38
35.49,705.24,1.72
36.0,705.25,1.46
