Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
0.0,30.62,0.18
0.0,30.63,-0.06
0.0,30.64,0.02
0.0,30.65,0.02
0.0,30.66,-0.13
0.0,30.67,-0.09
0.0,30.68,0.22
0.0,30.69,-0.09
0.0,30.7,-0.08
0.0,30.71,-0.03
0.0,30.72,0.39
0.0,30.73,0.31
0.0,30.74,-0.04
0.0,30.75,-0.61
0.0,30.76,0.43
0.0,30.77,0.07
0.0,30.78,-0.14
0.0,30.79,-0.3
0.0,30.8,0.24
0.0,30.81,-0.22
0.0,30.82,0.26
0.0,30.83,0.5
0.0,30.84,-0.31
0.0,30.85,-0.49
0.0,30.86,0.34
0.0,30.87,-0.33
0.0,30.88,0.39
0.0,30.89,0.16
0.0,30.9,0.02
0.0,30.91,-0.5
0.0,30.92,0.06
0.0,30.93,0.14
0.0,30.94,0.37
0.0,30.95,-0.07
0.0,30.96,0.07
0.0,30.97,-0.24
0.0,30.98,0.01
0.0,30.99,-0.38
0.0,31.0,0.0
0.0,31.01,0.04
0.0,31.02,0.2
0.0,31.03,-0.01
0.0,31.04,-0.09
0.0,31.05,0.2
0.0,31.06,0.06
0.0,31.07,-0.33
0.0,31.08,0.03
0.0,31.09,-0.11
0.0,31.1,0.05
0.0,31.11,-0.03
0.0,31.12,-0.05
0.0,31.13,0.31
0.0,31.14,-0.24
0.0,31.15,-0.04
0.0,31.16,0.23
0.0,31.17,-0.08
0.0,31.18,0.4
0.0,31.19,-0.14
0.0,31.2,-0.22
0.0,31.21,-0.01
0.0,31.22,-0.2
0.0,31.23,0.56
0.0,31.24,-0.39
0.0,31.25,-0.1
0.0,31.26,0.09
0.0,31.27,-0.03
0.0,31.28,0.11
0.0,31.29,0.53
0.0,31.3,0.39
0.0,31.31,0.25
0.0,31.32,-0.23
0.0,31.33,-0.57
0.0,31.34,-0.31
0.0,31.35,0.21
0.0,31.36,0.01
0.0,31.37,-0.07
0.0,31.38,-0.09
0.0,31.39,0.18
0.0,31.4,-0.32
0.0,31.41,-0.18
0.0,31.42,0.25
0.0,31.43,0.16
0.0,31.44,-0.03
0.0,31.45,0.15
0.0,31.46,0.36
0.0,31.47,0.09
0.0,31.48,-0.37
0.0,31.49,-0.06
0.0,31.5,-0.15
0.0,31.51,0.05
0.0,31.52,0.03
0.0,31.53,-0.41
0.0,31.54,-0.13
0.0,31.55,0.16
0.0,31.56,0.33
0.0,31.57,-0.21
0.0,31.58,-0.07
0.0,31.59,-0.05
0.0,31.6,0.53
0.0,31.61,0.23
0.0,31.62,-0.5
0.0,31.63,0.22
0.0,31.64,-0.52
0.0,31.65,0.36
0.0,31.66,0.1
0.0,31.67,0.18
0.0,31.68,-0.08
0.0,31.69,-0.56
0.0,31.7,-0.01
0.0,31.71,0.26
0.0,31.72,-0.14
0.0,31.73,0.23
0.0,31.74,-0.15
0.0,31.75,0.0
0.0,31.76,0.31
0.0,31.77,-0.65
0.0,31.78,0.46
0.0,31.79,-0.29
0.0,31.8,-0.13
0.0,31.81,0.14
0.0,31.82,0.61
0.0,31.83,-0.22
0.0,31.84,-0.59
0.0,31.85,0.12
0.0,31.86,0.15
0.0,31.87,-0.17
0.0,31.88,0.46
0.0,31.89,-0.1
0.0,31.9,0.31
0.0,31.91,-0.38
0.0,31.92,-0.13
0.0,31.93,0.58
0.0,31.94,0.01
0.0,31.95,-0.1
0.0,31.96,-0.35
0.0,31.97,-0.16
0.0,31.98,0.07
0.0,31.99,0.03
0.0,32.0,-0.17
0.0,32.01,0.03
0.0,32.02,0.14
0.0,32.03,-0.2
0.0,32.04,0.0
0.0,32.05,0.35
0.0,32.06,-0.46
0.0,32.07,0.35
0.0,32.08,0.22
0.0,32.09,-0.12
0.0,32.1,-0.11
0.0,32.11,-0.08
0.0,32.12,-0.02
0.0,32.13,-0.07
0.0,32.14,0.05
0.0,32.15,0.3
0.0,32.16,-0.1
0.0,32.17,-0.14
0.0,32.18,-0.15
0.0,32.19,0.05
0.0,32.2,0.08
0.0,32.21,-0.06
0.0,32.22,0.21
0.0,32.23,0.09
0.0,32.24,-0.08
0.0,32.25,-0.03
0.0,32.26,0.07
0.0,32.27,0.28
0.0,32.28,-0.4
0.0,32.29,0.05
0.0,32.3,0.01
0.0,32.31,-0.09
0.0,32.32,-0.2
0.0,32.33,0.26
0.0,32.34,-0.18
0.0,32.35,-0.06
0.0,32.36,0.13
0.0,32.37,0.04
0.0,32.38,0.27
0.0,32.39,0.04
0.0,32.4,-0.35
0.0,32.41,-0.18
0.0,32.42,0.0
0.0,32.43,0.05
0.0,32.44,0.19
0.0,32.45,-0.01
0.0,32.46,0.16
0.0,32.47,-0.04
0.0,32.48,-0.26
