Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
34.41,795.0,-0.33
34.26,795.01,-0.41
34.32,795.02,0.18
34.58,795.03,0.71
34.58,795.04,0.01
34.58,795.05,0.0
34.54,795.06,-0.1
34.49,795.07,-0.14
34.43,795.08,-0.18
34.39,795.09,-0.12
34.43,795.1,0.11
34.27,795.11,-0.45
34.32,795.12,0.14
34.36,795.13,0.11
34.24,795.14,-0.33
34.14,795.15,-0.29
34.33,795.16,0.56
34.34,795.17,0.03
34.45,795.18,0.31
34.28,795.19,-0.48
34.29,795.2,0.02
34.2,795.21,-0.23
34.36,795.22,0.44
34.4,795.23,0.12
34.54,795.24,0.38
34.88,795.25,0.97
34.96,795.26,0.22
35.03,795.27,0.2
34.84,795.28,-0.55
34.64,795.29,-0.56
34.64,795.3,0.01
34.5,795.31,-0.39
34.52,795.32,0.05
34.38,795.33,-0.39
34.26,795.34,-0.33
34.21,795.35,-0.15
34.35,795.36,0.39
34.4,795.37,0.14
34.28,795.38,-0.35
34.33,795.39,0.15
34.15,795.4,-0.5
34.1,795.41,-0.14
34.09,795.42,-0.04
34.22,795.43,0.37
34.07,795.44,-0.42
34.17,795.45,0.29
34.41,795.46,0.66
34.44,795.47,0.08
34.47,795.48,0.09
34.19,795.49,-0.8
34.02,795.5,-0.47
33.86,795.51,-0.45
33.8,795.52,-0.18
33.68,795.53,-0.35
33.67,795.54,-0.03
33.69,795.55,0.06
33.88,795.56,0.55
33.76,795.57,-0.35
33.57,795.58,-0.51
33.44,795.59,-0.39
33.32,795.6,-0.33
33.29,795.61,-0.09
33.13,795.62,-0.46
33.12,795.63,-0.01
33.1,795.64,-0.08
33.13,795.65,0.11
33.24,795.66,0.3
33.27,795.67,0.1
33.55,795.68,0.77
33.78,795.69,0.66
33.7,795.7,-0.22
33.8,795.71,0.29
33.81,795.72,0.03
33.67,795.73,-0.41
33.57,795.74,-0.28
33.76,795.75,0.54
33.77,795.76,0.01
33.58,795.77,-0.52
33.43,795.78,-0.42
33.34,795.79,-0.27
33.47,795.8,0.36
33.61,795.81,0.41
33.63,795.82,0.05
33.67,795.83,0.1
33.69,795.84,0.06
33.7,795.85,0.03
33.68,795.86,-0.04
33.61,795.87,-0.22
33.46,795.88,-0.42
33.46,795.89,0.01
33.57,795.9,0.3
33.56,795.91,-0.03
33.54,795.92,-0.06
33.66,795.93,0.35
33.61,795.94,-0.15
33.52,795.95,-0.25
33.54,795.96,0.06
33.59,795.97,0.14
33.47,795.98,-0.34
33.51,795.99,0.1
33.51,796.0,0.01
33.67,796.01,0.44
33.8,796.02,0.38
33.73,796.03,-0.19
33.8,796.04,0.18
33.88,796.05,0.23
34.14,796.06,0.74
34.3,796.07,0.46
34.18,796.08,-0.34
34.17,796.09,-0.04
34.3,796.1,0.38
34.32,796.11,0.06
34.3,796.12,-0.07
34.41,796.13,0.32
34.38,796.14,-0.08
34.28,796.15,-0.29
34.26,796.16,-0.04
34.22,796.17,-0.14
34.15,796.18,-0.18
34.02,796.19,-0.37
