Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
0.0,15.0,-0.33
0.0,15.01,0.14
0.0,15.02,-0.13
0.0,15.03,0.14
0.0,15.04,0.13
0.0,15.05,-0.07
0.0,15.06,-0.29
0.0,15.07,0.58
0.0,15.08,-0.71
0.0,15.09,0.46
0.0,15.1,-0.02
0.0,15.11,-0.13
0.0,15.12,0.03
0.0,15.13,-0.07
0.0,15.14,0.37
0.0,15.15,-0.59
0.0,15.16,0.18
0.0,15.17,-0.27
0.0,15.18,0.7
0.0,15.19,-0.41
0.0,15.2,-0.13
0.0,15.21,-0.01
0.0,15.22,0.19
0.0,15.23,0.21
0.0,15.24,-0.2
0.0,15.25,-0.33
0.0,15.26,0.05
0.0,15.27,-0.05
0.0,15.28,0.33
0.0,15.29,0.12
0.0,15.3,-0.12
0.0,15.31,-0.24
0.0,15.32,0.13
0.0,15.33,0.02
0.0,15.34,0.08
0.0,15.35,0.36
0.0,15.36,-0.3
0.0,15.37,-0.05
0.0,15.38,0.02
0.0,15.39,-0.2
0.0,15.4,-0.07
0.0,15.41,0.53
0.0,15.42,-0.29
0.0,15.43,-0.05
0.0,15.44,-0.17
0.0,15.45,0.34
0.0,15.46,0.0
0.0,15.47,0.1
0.0,15.48,0.25
0.0,15.49,-0.24
0.0,15.5,-0.27
0.0,15.51,-0.26
0.0,15.52,0.37
0.0,15.53,0.2
0.0,15.54,0.58
0.0,15.55,-0.38
0.0,15.56,0.06
0.0,15.57,-0.51
0.0,15.58,-0.47
0.0,15.59,0.45
0.0,15.6,0.5
0.0,15.61,-0.22
0.0,15.62,0.29
0.0,15.63,-0.09
0.0,15.64,-0.05
0.0,15.65,-0.55
0.0,15.66,0.15
0.0,15.67,-0.05
0.0,15.68,0.29
0.0,15.69,-0.22
0.0,15.7,-0.11
0.0,15.71,0.55
0.0,15.72,0.18
0.0,15.73,-0.24
0.0,15.74,-0.46
0.0,15.75,-0.42
0.0,15.76,0.39
0.0,15.77,-0.27
0.0,15.78,0.18
0.0,15.79,0.04
0.0,15.8,-0.13
0.0,15.81,0.17
0.0,15.82,-0.29
0.0,15.83,0.81
0.0,15.84,0.06
0.0,15.85,-0.14
0.0,15.86,-0.11
0.0,15.87,0.1
0.0,15.88,-0.48
0.0,15.89,0.38
0.0,15.9,-0.16
0.0,15.91,0.0
0.0,15.92,-0.12
0.0,15.93,0.41
0.0,15.94,-0.39
0.0,15.95,-0.03
0.0,15.96,0.43
0.0,15.97,-0.13
0.0,15.98,0.04
0.0,15.99,-0.35
0.0,16.0,0.55
0.0,16.01,0.1
0.0,16.02,-0.01
0.0,16.03,-0.38
0.0,16.04,-0.21
0.0,16.05,-0.27
0.0,16.06,0.16
0.0,16.07,-0.21
0.0,16.08,0.05
0.0,16.09,-0.05
0.0,16.1,0.16
0.0,16.11,-0.09
0.0,16.12,0.51
0.0,16.13,-0.09
0.0,16.14,-0.43
0.0,16.15,-0.13
0.0,16.16,0.41
0.0,16.17,0.08
0.0,16.18,-0.51
0.0,16.19,0.47
0.0,16.2,-0.01
0.0,16.21,-0.16
0.0,16.22,0.11
0.0,16.23,0.12
0.0,16.24,0.37
0.0,16.25,-0.58
0.0,16.26,0.05
0.0,16.27,-0.23
0.0,16.28,0.09
0.0,16.29,-0.09
0.0,16.3,0.18
0.0,16.31,-0.32
0.0,16.32,0.42
0.0,16.33,-0.12
0.0,16.34,0.07
0.0,16.35,-0.2
0.0,16.36,0.03
0.0,16.37,0.01
