Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
28.35,612.34,3.34
30.48,612.35,6.03
31.32,612.36,2.39
31.12,612.37,-0.58
30.25,612.38,-2.46
29.22,612.39,-2.9
28.76,612.4,-1.33
29.76,612.41,2.84
30.59,612.42,2.35
30.7,612.43,0.32
31.21,612.44,1.44
31.4,612.45,0.54
30.81,612.46,-1.68
29.44,612.47,-3.88
27.68,612.48,-4.97
25.63,612.49,-5.83
24.72,612.5,-2.58
24.93,612.51,0.62
26.14,612.52,3.42
26.68,612.53,1.52
27.32,612.54,1.84
28.05,612.55,2.05
28.38,612.56,0.94
29.05,612.57,1.89
29.77,612.58,2.04
30.13,612.59,1.03
30.48,612.6,0.98
30.83,612.61,0.99
31.55,612.62,2.03
31.4,612.63,-0.41
31.05,612.64,-1.0
30.3,612.65,-2.11
30.05,612.66,-0.72
28.62,612.67,-4.06
27.33,612.68,-3.64
27.57,612.69,0.67
28.04,612.7,1.33
28.28,612.71,0.67
28.85,612.72,1.62
29.62,612.73,2.17
30.29,612.74,1.9
30.77,612.75,1.37
31.16,612.76,1.1
31.46,612.77,0.85
30.35,612.78,-3.13
30.03,612.79,-0.92
29.5,612.8,-1.48
29.98,612.81,1.34
30.67,612.82,1.97
29.97,612.83,-2.01
29.81,612.84,-0.43
30.71,612.85,2.55
33.41,612.86,7.65
33.6,612.87,0.54
31.95,612.88,-4.68
26.0,612.89,-16.84
28.03,612.9,5.72
28.26,612.91,0.67
29.21,612.92,2.68
26.78,612.93,-6.87
28.68,612.94,5.37
24.2,612.95,-12.68
24.52,612.96,0.91
25.76,612.97,3.5
27.87,612.98,5.97
28.94,612.99,3.04
29.4,613.0,1.29
29.22,613.01,-0.49
29.43,613.02,0.6
29.64,613.03,0.57
30.41,613.04,2.18
31.28,613.05,2.48
32.21,613.06,2.62
32.51,613.07,0.84
32.16,613.08,-0.97
32.37,613.09,0.57
32.48,613.1,0.33
31.52,613.11,-2.72
30.17,613.12,-3.83
28.88,613.13,-3.67
28.56,613.14,-0.91
27.79,613.15,-2.18
28.78,613.16,2.8
29.77,613.17,2.81
30.73,613.18,2.71
31.07,613.19,0.98
30.29,613.2,-2.23
30.09,613.21,-0.57
29.11,613.22,-2.76
28.69,613.23,-1.21
28.06,613.24,-1.78
27.51,613.25,-1.55
27.54,613.26,0.08
27.86,613.27,0.92
27.96,613.28,0.27
