Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
4.07,372.73,-1.0
4.52,372.74,1.25
5.53,372.75,2.86
6.69,372.76,3.31
7.51,372.77,2.31
7.25,372.78,-0.73
7.17,372.79,-0.24
7.2,372.8,0.08
7.18,372.81,-0.06
6.8,372.82,-1.07
6.73,372.83,-0.19
6.38,372.84,-1.0
5.99,372.85,-1.11
5.91,372.86,-0.23
5.79,372.87,-0.32
6.19,372.88,1.13
6.27,372.89,0.21
6.52,372.9,0.71
6.09,372.91,-1.23
5.99,372.92,-0.28
6.16,372.93,0.5
6.12,372.94,-0.12
6.45,372.95,0.93
6.8,372.96,0.97
6.72,372.97,-0.21
6.17,372.98,-1.56
5.23,372.99,-2.67
4.8,373.0,-1.2
4.8,373.01,0.01
4.93,373.02,0.35
4.53,373.03,-1.14
4.87,373.04,0.97
4.61,373.05,-0.72
3.51,373.06,-3.14
1.39,373.07,-6.0
1.72,373.08,0.93
2.19,373.09,1.35
3.22,373.1,2.92
4.08,373.11,2.43
5.11,373.12,2.92
5.33,373.13,0.6
5.64,373.14,0.89
5.15,373.15,-1.4
4.72,373.16,-1.22
4.6,373.17,-0.32
5.31,373.18,2.02
5.97,373.19,1.86
6.23,373.2,0.74
6.24,373.21,0.02
5.61,373.22,-1.77
5.48,373.23,-0.39
5.28,373.24,-0.54
5.97,373.25,1.93
7.04,373.26,3.06
6.36,373.27,-1.93
6.05,373.28,-0.89
5.74,373.29,-0.87
6.11,373.3,1.04
5.68,373.31,-1.22
6.11,373.32,1.22
6.54,373.33,1.22
7.99,373.34,4.1
8.65,373.35,1.88
8.37,373.36,-0.8
7.62,373.37,-2.13
6.5,373.38,-3.16
5.62,373.39,-2.5
4.88,373.4,-2.1
4.67,373.41,-0.6
4.79,373.42,0.36
5.23,373.43,1.25
5.03,373.44,-0.58
4.69,373.45,-0.95
4.71,373.46,0.04
4.4,373.47,-0.87
4.0,373.48,-1.14
4.2,373.49,0.58
3.9,373.5,-0.84
3.85,373.51,-0.16
3.76,373.52,-0.25
4.12,373.53,1.01
4.25,373.54,0.37
4.37,373.55,0.35
5.1,373.56,2.08
5.53,373.57,1.21
5.92,373.58,1.1
6.18,373.59,0.76
5.92,373.6,-0.74
5.5,373.61,-1.2
4.68,373.62,-2.32
4.28,373.63,-1.15
4.19,373.64,-0.25
4.05,373.65,-0.39
4.1,373.66,0.16
4.75,373.67,1.83
5.41,373.68,1.87
6.07,373.69,1.87
5.91,373.7,-0.47
6.96,373.71,2.97
7.64,373.72,1.93
7.47,373.73,-0.48
7.09,373.74,-1.06
6.0,373.75,-3.08
4.66,373.76,-3.81
4.08,373.77,-1.65
3.3,373.78,-2.2
2.5,373.79,-2.27
2.86,373.8,1.02
3.06,373.81,0.57
3.55,373.82,1.38
4.27,373.83,2.04
4.98,373.84,2.03
5.77,373.85,2.23
6.0,373.86,0.64
5.82,373.87,-0.51
5.4,373.88,-1.2
4.72,373.89,-1.91
4.43,373.9,-0.82
4.07,373.91,-1.04
3.87,373.92,-0.56
3.45,373.93,-1.2
3.94,373.94,1.4
4.79,373.95,2.4
5.23,373.96,1.26
5.58,373.97,0.98
5.78,373.98,0.59
5.56,373.99,-0.63
4.92,374.0,-1.82
4.66,374.01,-0.72
4.4,374.02,-0.75
4.63,374.03,0.65
4.83,374.04,0.57
5.76,374.05,2.63
5.63,374.06,-0.34
5.69,374.07,0.16
6.48,374.08,2.23
6.68,374.09,0.58
6.52,374.1,-0.47
6.08,374.11,-1.23
5.99,374.12,-0.27
5.43,374.13,-1.58
5.9,374.14,1.32
6.7,374.15,2.27
6.88,374.16,0.52
6.71,374.17,-0.5
7.44,374.18,2.07
8.42,374.19,2.78
10.72,374.2,6.52
12.33,374.21,4.57
13.19,374.22,2.43
11.95,374.23,-3.52
11.3,374.24,-1.84
10.48,374.25,-2.33
11.32,374.26,2.39
11.04,374.27,-0.8
9.01,374.28,-5.74
7.69,374.29,-3.75
6.44,374.3,-3.54
5.53,374.31,-2.57
5.14,374.32,-1.12
4.39,374.33,-2.12
4.25,374.34,-0.4
3.73,374.35,-1.46
4.44,374.36,2.01
5.01,374.37,1.6
5.57,374.38,1.59
6.02,374.39,1.29
6.23,374.4,0.6
6.91,374.41,1.93
7.59,374.42,1.91
7.42,374.43,-0.47
7.6,374.44,0.49
8.03,374.45,1.22
8.8,374.46,2.18
8.73,374.47,-0.18
8.87,374.48,0.4
8.79,374.49,-0.24
9.23,374.5,1.25
9.39,374.51,0.47
8.94,374.52,-1.27
8.49,374.53,-1.28
7.9,374.54,-1.67
7.12,374.55,-2.2
7.0,374.56,-0.35
7.12,374.57,0.34
8.08,374.58,2.72
8.07,374.59,-0.03
8.03,374.6,-0.13
7.56,374.61,-1.31
7.59,374.62,0.07
7.7,374.63,0.31
8.15,374.64,1.28
8.83,374.65,1.93
9.27,374.66,1.25
