Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
29.45,314.0,-5.79
28.47,314.01,-2.78
30.09,314.02,4.61
31.35,314.03,3.57
32.37,314.04,2.88
32.18,314.05,-0.54
32.4,314.06,0.62
33.23,314.07,2.34
34.36,314.08,3.2
34.08,314.09,-0.8
35.53,314.1,4.11
35.42,314.11,-0.32
34.98,314.12,-1.23
34.19,314.13,-2.23
33.72,314.14,-1.35
33.74,314.15,0.06
33.23,314.16,-1.44
31.95,314.17,-3.62
31.0,314.18,-2.69
29.27,314.19,-4.89
28.4,314.2,-2.48
27.92,314.21,-1.36
28.64,314.22,2.06
30.07,314.23,4.03
30.16,314.24,0.27
32.16,314.25,5.64
32.52,314.26,1.03
32.3,314.27,-0.63
33.0,314.28,1.99
34.18,314.29,3.36
34.9,314.3,2.04
34.42,314.31,-1.36
33.48,314.32,-2.67
33.3,314.33,-0.52
32.91,314.34,-1.09
34.12,314.35,3.42
35.21,314.36,3.1
36.0,314.37,2.24
35.68,314.38,-0.92
35.36,314.39,-0.9
35.34,314.4,-0.05
34.59,314.41,-2.12
32.95,314.42,-4.65
32.3,314.43,-1.84
32.11,314.44,-0.53
31.53,314.45,-1.66
31.16,314.46,-1.04
31.78,314.47,1.76
32.34,314.48,1.57
32.78,314.49,1.24
33.57,314.5,2.23
34.59,314.51,2.89
35.85,314.52,3.58
36.43,314.53,1.65
35.65,314.54,-2.22
34.75,314.55,-2.55
36.55,314.56,5.1
37.51,314.57,2.73
37.46,314.58,-0.16
35.87,314.59,-4.48
35.66,314.6,-0.61
37.03,314.61,3.89
38.32,314.62,3.63
37.77,314.63,-1.53
35.78,314.64,-5.66
35.14,314.65,-1.82
32.57,314.66,-7.27
32.45,314.67,-0.34
31.56,314.68,-2.51
29.91,314.69,-4.68
29.25,314.7,-1.88
30.56,314.71,3.7
32.05,314.72,4.23
32.44,314.73,1.1
33.89,314.74,4.12
34.33,314.75,1.25
35.58,314.76,3.53
35.91,314.77,0.95
36.06,314.78,0.41
35.82,314.79,-0.67
35.14,314.8,-1.94
34.84,314.81,-0.83
34.28,314.82,-1.59
35.45,314.83,3.31
35.71,314.84,0.73
34.72,314.85,-2.8
34.94,314.86,0.63
35.06,314.87,0.33
35.1,314.88,0.13
34.32,314.89,-2.21
34.08,314.9,-0.7
33.98,314.91,-0.27
34.4,314.92,1.19
33.72,314.93,-1.92
32.73,314.94,-2.81
33.48,314.95,2.12
34.44,314.96,2.71
34.39,314.97,-0.13
33.94,314.98,-1.28
34.51,314.99,1.61
