Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
34.83,550.79,-1.84
34.74,550.8,-0.25
34.52,550.81,-0.63
34.6,550.82,0.21
34.53,550.83,-0.2
34.65,550.84,0.35
34.39,550.85,-0.74
33.9,550.86,-1.37
34.36,550.87,1.29
34.91,550.88,1.55
35.45,550.89,1.56
35.3,550.9,-0.45
35.7,550.91,1.15
35.47,550.92,-0.66
35.23,550.93,-0.68
35.4,550.94,0.48
35.42,550.95,0.05
35.82,550.96,1.13
35.55,550.97,-0.76
34.93,550.98,-1.76
34.89,550.99,-0.11
34.97,551.0,0.22
34.79,551.01,-0.5
34.57,551.02,-0.63
34.56,551.03,-0.03
34.63,551.04,0.2
35.28,551.05,1.83
35.55,551.06,0.78
35.09,551.07,-1.3
35.16,551.08,0.19
35.19,551.09,0.08
35.2,551.1,0.04
35.11,551.11,-0.27
35.01,551.12,-0.29
35.22,551.13,0.59
35.49,551.14,0.77
35.36,551.15,-0.36
35.73,551.16,1.04
35.71,551.17,-0.05
35.58,551.18,-0.37
35.57,551.19,-0.02
35.78,551.2,0.58
36.19,551.21,1.17
36.32,551.22,0.37
36.26,551.23,-0.17
36.12,551.24,-0.41
35.95,551.25,-0.49
35.47,551.26,-1.35
35.13,551.27,-0.95
34.87,551.28,-0.74
34.63,551.29,-0.67
34.35,551.3,-0.8
34.15,551.31,-0.57
34.53,551.32,1.06
34.61,551.33,0.24
34.78,551.34,0.47
34.81,551.35,0.09
35.73,551.36,2.61
36.0,551.37,0.77
36.22,551.38,0.6
36.08,551.39,-0.37
36.21,551.4,0.35
35.86,551.41,-0.99
36.15,551.42,0.83
35.37,551.43,-2.2
35.33,551.44,-0.13
34.98,551.45,-0.98
35.07,551.46,0.25
34.64,551.47,-1.21
35.02,551.48,1.08
34.72,551.49,-0.85
34.96,551.5,0.66
35.07,551.51,0.33
35.58,551.52,1.45
35.98,551.53,1.13
36.25,551.54,0.75
36.36,551.55,0.33
36.34,551.56,-0.07
36.24,551.57,-0.29
36.24,551.58,0.01
35.77,551.59,-1.33
35.35,551.6,-1.2
35.2,551.61,-0.44
34.98,551.62,-0.6
35.04,551.63,0.15
35.16,551.64,0.36
35.18,551.65,0.03
35.22,551.66,0.14
35.09,551.67,-0.37
34.98,551.68,-0.31
35.24,551.69,0.74
35.66,551.7,1.18
36.24,551.71,1.64
36.61,551.72,1.04
36.84,551.73,0.66
36.91,551.74,0.19
36.61,551.75,-0.85
35.95,551.76,-1.87
35.65,551.77,-0.83
35.57,551.78,-0.23
35.84,551.79,0.74
35.9,551.8,0.17
35.78,551.81,-0.33
35.69,551.82,-0.25
35.96,551.83,0.76
35.65,551.84,-0.88
35.75,551.85,0.29
35.75,551.86,-0.02
35.66,551.87,-0.26
35.15,551.88,-1.43
34.95,551.89,-0.58
34.87,551.9,-0.2
35.01,551.91,0.39
35.09,551.92,0.23
35.05,551.93,-0.13
35.43,551.94,1.09
35.15,551.95,-0.79
35.05,551.96,-0.3
34.89,551.97,-0.45
35.14,551.98,0.71
35.16,551.99,0.06
35.19,552.0,0.08
35.57,552.01,1.08
35.75,552.02,0.49
36.18,552.03,1.24
36.26,552.04,0.21
36.13,552.05,-0.35
35.91,552.06,-0.63
35.69,552.07,-0.64
35.35,552.08,-0.95
35.25,552.09,-0.28
35.15,552.1,-0.29
35.62,552.11,1.32
35.75,552.12,0.37
35.93,552.13,0.51
36.28,552.14,1.0
35.95,552.15,-0.92
36.01,552.16,0.17
35.72,552.17,-0.83
35.66,552.18,-0.18
35.28,552.19,-1.08
35.67,552.2,1.11
35.35,552.21,-0.89
35.39,552.22,0.1
35.18,552.23,-0.6
35.44,552.24,0.74
35.62,552.25,0.52
35.69,552.26,0.19
35.7,552.27,0.03
35.62,552.28,-0.22
36.07,552.29,1.28
36.18,552.3,0.29
36.41,552.31,0.65
36.52,552.32,0.33
36.12,552.33,-1.13
35.65,552.34,-1.35
35.51,552.35,-0.39
35.62,552.36,0.32
35.4,552.37,-0.63
35.59,552.38,0.52
35.44,552.39,-0.41
35.42,552.4,-0.07
35.47,552.41,0.15
35.8,552.42,0.94
35.64,552.43,-0.46
35.58,552.44,-0.17
35.6,552.45,0.07
35.61,552.46,0.02
35.81,552.47,0.59
