Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
32.0,670.35,-0.99
32.27,670.36,0.76
32.51,670.37,0.69
33.69,670.38,3.34
33.67,670.39,-0.06
34.52,670.4,2.41
34.56,670.41,0.11
34.11,670.42,-1.28
33.51,670.43,-1.72
33.93,670.44,1.21
33.54,670.45,-1.12
33.51,670.46,-0.08
32.94,670.47,-1.61
32.21,670.48,-2.07
32.02,670.49,-0.54
32.18,670.5,0.46
32.49,670.51,0.88
33.3,670.52,2.27
33.27,670.53,-0.08
33.77,670.54,1.44
33.17,670.55,-1.71
33.18,670.56,0.01
32.73,670.57,-1.26
33.59,670.58,2.44
32.62,670.59,-2.74
32.6,670.6,-0.08
33.21,670.61,1.73
33.58,670.62,1.06
33.69,670.63,0.31
32.73,670.64,-2.71
32.63,670.65,-0.28
32.56,670.66,-0.21
32.16,670.67,-1.13
32.88,670.68,2.03
32.84,670.69,-0.11
33.51,670.7,1.9
34.0,670.71,1.38
34.19,670.72,0.53
34.34,670.73,0.43
33.89,670.74,-1.27
32.15,670.75,-4.94
31.59,670.76,-1.59
32.59,670.77,2.85
32.47,670.78,-0.36
31.94,670.79,-1.5
32.72,670.8,2.21
33.46,670.81,2.1
33.76,670.82,0.85
32.82,670.83,-2.67
31.95,670.84,-2.45
30.9,670.85,-2.98
32.71,670.86,5.13
32.89,670.87,0.51
33.29,670.88,1.12
33.37,670.89,0.23
33.37,670.9,-0.01
32.24,670.91,-3.18
31.96,670.92,-0.8
31.28,670.93,-1.92
31.47,670.94,0.54
31.77,670.95,0.85
33.38,670.96,4.55
32.94,670.97,-1.23
31.65,670.98,-3.66
31.88,670.99,0.65
33.85,671.0,5.57
34.96,671.01,3.16
34.8,671.02,-0.48
34.95,671.03,0.44
35.7,671.04,2.12
35.08,671.05,-1.76
34.44,671.06,-1.82
33.95,671.07,-1.39
32.85,671.08,-3.1
32.51,671.09,-0.97
32.2,671.1,-0.87
33.05,671.11,2.41
33.48,671.12,1.2
33.6,671.13,0.34
33.46,671.14,-0.38
34.3,671.15,2.37
33.1,671.16,-3.41
32.04,671.17,-2.99
32.26,671.18,0.6
33.46,671.19,3.4
33.66,671.2,0.59
33.34,671.21,-0.91
31.51,671.22,-5.19
30.68,671.23,-2.36
31.33,671.24,1.85
33.11,671.25,5.04
33.32,671.26,0.59
32.37,671.27,-2.67
31.58,671.28,-2.24
32.83,671.29,3.53
33.16,671.3,0.93
32.54,671.31,-1.76
32.15,671.32,-1.1
32.18,671.33,0.08
33.2,671.34,2.89
33.02,671.35,-0.5
32.52,671.36,-1.41
32.22,671.37,-0.85
30.89,671.38,-3.78
32.29,671.39,3.99
32.71,671.4,1.18
32.17,671.41,-1.54
31.07,671.42,-3.12
30.31,671.43,-2.14
30.7,671.44,1.11
32.46,671.45,4.97
34.79,671.46,6.61
34.56,671.47,-0.64
35.04,671.48,1.35
29.82,671.49,-14.79
33.48,671.5,10.37
31.26,671.51,-6.29
31.22,671.52,-0.1
31.26,671.53,0.1
32.37,671.54,3.15
33.76,671.55,3.93
34.66,671.56,2.55
32.84,671.57,-5.16
33.26,671.58,1.2
34.2,671.59,2.65
34.04,671.6,-0.44
34.18,671.61,0.4
33.81,671.62,-1.05
33.1,671.63,-2.02
32.85,671.64,-0.7
31.53,671.65,-3.75
31.16,671.66,-1.04
32.69,671.67,4.32
33.09,671.68,1.13
32.52,671.69,-1.6
32.72,671.7,0.56
