Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
18.88,447.08,0.59
18.92,447.09,0.1
18.54,447.1,-1.07
18.13,447.11,-1.16
18.37,447.12,0.68
17.84,447.13,-1.52
16.84,447.14,-2.82
17.42,447.15,1.66
17.57,447.16,0.42
18.18,447.17,1.73
18.63,447.18,1.27
18.61,447.19,-0.06
18.29,447.2,-0.89
17.75,447.21,-1.55
18.57,447.22,2.32
17.91,447.23,-1.84
17.63,447.24,-0.79
17.87,447.25,0.67
18.78,447.26,2.57
19.99,447.27,3.43
20.7,447.28,2.03
21.32,447.29,1.75
20.96,447.3,-1.02
20.13,447.31,-2.35
19.34,447.32,-2.22
17.88,447.33,-4.16
17.09,447.34,-2.21
17.02,447.35,-0.22
17.06,447.36,0.11
16.94,447.37,-0.33
17.62,447.38,1.94
18.54,447.39,2.61
18.31,447.4,-0.65
18.58,447.41,0.75
19.71,447.42,3.21
19.27,447.43,-1.27
18.52,447.44,-2.11
18.13,447.45,-1.09
17.91,447.46,-0.64
17.85,447.47,-0.18
17.61,447.48,-0.67
17.75,447.49,0.39
17.85,447.5,0.29
18.95,447.51,3.11
19.47,447.52,1.49
18.81,447.53,-1.87
18.65,447.54,-0.46
19.31,447.55,1.86
19.3,447.56,-0.02
18.21,447.57,-3.1
17.75,447.58,-1.29
17.54,447.59,-0.59
17.6,447.6,0.16
17.65,447.61,0.16
17.62,447.62,-0.09
17.22,447.63,-1.14
17.26,447.64,0.11
16.9,447.65,-1.01
16.77,447.66,-0.38
16.84,447.67,0.19
