Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
34.36,314.08,3.2
34.08,314.09,-0.8
35.53,314.1,4.11
35.42,314.11,-0.32
34.98,314.12,-1.23
34.19,314.13,-2.23
33.72,314.14,-1.35
33.74,314.15,0.06
33.23,314.16,-1.44
31.95,314.17,-3.62
31.0,314.18,-2.69
29.27,314.19,-4.89
28.4,314.2,-2.48
27.92,314.21,-1.36
28.64,314.22,2.06
30.07,314.23,4.03
30.16,314.24,0.27
32.16,314.25,5.64
32.52,314.26,1.03
32.3,314.27,-0.63
33.0,314.28,1.99
34.18,314.29,3.36
34.9,314.3,2.04
34.42,314.31,-1.36
33.48,314.32,-2.67
33.3,314.33,-0.52
32.91,314.34,-1.09
34.12,314.35,3.42
35.21,314.36,3.1
36.0,314.37,2.24
35.68,314.38,-0.92
35.36,314.39,-0.9
35.34,314.4,-0.05
34.59,314.41,-2.12
32.95,314.42,-4.65
32.3,314.43,-1.84
32.11,314.44,-0.53
31.53,314.45,-1.66
31.16,314.46,-1.04
31.78,314.47,1.76
32.34,314.48,1.57
32.78,314.49,1.24
33.57,314.5,2.23
34.59,314.51,2.89
35.85,314.52,3.58
36.43,314.53,1.65
35.65,314.54,-2.22
34.75,314.55,-2.55
36.55,314.56,5.1
37.51,314.57,2.73
37.46,314.58,-0.16
35.87,314.59,-4.48
35.66,314.6,-0.61
37.03,314.61,3.89
38.32,314.62,3.63
37.77,314.63,-1.53
35.78,314.64,-5.66
35.14,314.65,-1.82
32.57,314.66,-7.27
32.45,314.67,-0.34
31.56,314.68,-2.51
29.91,314.69,-4.68
29.25,314.7,-1.88
30.56,314.71,3.7
32.05,314.72,4.23
32.44,314.73,1.1
33.89,314.74,4.12
34.33,314.75,1.25
35.58,314.76,3.53
35.91,314.77,0.95
36.06,314.78,0.41
35.82,314.79,-0.67
35.14,314.8,-1.94
34.84,314.81,-0.83
34.28,314.82,-1.59
35.45,314.83,3.31
35.71,314.84,0.73
34.72,314.85,-2.8
34.94,314.86,0.63
35.06,314.87,0.33
35.1,314.88,0.13
34.32,314.89,-2.21
34.08,314.9,-0.7
33.98,314.91,-0.27
34.4,314.92,1.19
33.72,314.93,-1.92
32.73,314.94,-2.81
33.48,314.95,2.12
34.44,314.96,2.71
34.39,314.97,-0.13
33.94,314.98,-1.28
34.51,314.99,1.61
33.95,315.0,-1.57
32.07,315.01,-5.34
31.66,315.02,-1.16
33.12,315.03,4.14
34.02,315.04,2.55
33.71,315.05,-0.88
33.35,315.06,-1.01
33.46,315.07,0.31
33.1,315.08,-1.01
32.94,315.09,-0.46
34.1,315.1,3.29
34.04,315.11,-0.18
33.13,315.12,-2.56
34.67,315.13,4.36
35.83,315.14,3.27
35.07,315.15,-2.14
35.06,315.16,-0.01
35.75,315.17,1.95
36.46,315.18,1.99
35.09,315.19,-3.86
33.55,315.2,-4.37
31.53,315.21,-5.72
31.38,315.22,-0.43
32.68,315.23,3.68
33.38,315.24,1.97
34.31,315.25,2.66
35.22,315.26,2.56
34.81,315.27,-1.17
34.48,315.28,-0.91
34.7,315.29,0.61
35.51,315.3,2.29
35.68,315.31,0.47
35.71,315.32,0.11
35.49,315.33,-0.65
34.39,315.34,-3.09
35.05,315.35,1.86
35.61,315.36,1.59
35.18,315.37,-1.22
35.55,315.38,1.02
35.03,315.39,-1.46
34.51,315.4,-1.47
34.45,315.41,-0.18
34.01,315.42,-1.23
33.97,315.43,-0.11
34.88,315.44,2.57
35.21,315.45,0.94
33.31,315.46,-5.4
32.56,315.47,-2.11
34.26,315.48,4.82
35.39,315.49,3.2
35.14,315.5,-0.73
34.44,315.51,-1.98
35.18,315.52,2.1
35.96,315.53,2.21
36.7,315.54,2.11
36.29,315.55,-1.18
35.7,315.56,-1.67
34.89,315.57,-2.29
33.2,315.58,-4.79
33.8,315.59,1.69
33.54,315.6,-0.72
32.86,315.61,-1.93
34.23,315.62,3.86
34.72,315.63,1.39
35.91,315.64,3.37
36.69,315.65,2.23
36.04,315.66,-1.86
34.59,315.67,-4.1
35.15,315.68,1.58
35.46,315.69,0.9
34.25,315.7,-3.44
33.16,315.71,-3.08
34.49,315.72,3.75
36.14,315.73,4.69
36.31,315.74,0.46
