Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
34.27,703.96,0.06
34.31,703.97,0.11
34.44,703.98,0.37
34.41,703.99,-0.07
34.66,704.0,0.68
34.39,704.01,-0.76
34.41,704.02,0.07
35.04,704.03,1.78
35.36,704.04,0.91
35.14,704.05,-0.62
35.06,704.06,-0.24
35.31,704.07,0.71
35.31,704.08,0.02
35.41,704.09,0.27
35.4,704.1,-0.03
35.1,704.11,-0.86
34.65,704.12,-1.26
34.47,704.13,-0.52
34.6,704.14,0.37
34.68,704.15,0.24
34.62,704.16,-0.18
34.64,704.17,0.07
34.51,704.18,-0.39
34.68,704.19,0.49
34.56,704.2,-0.35
34.79,704.21,0.66
34.77,704.22,-0.05
34.86,704.23,0.25
34.84,704.24,-0.07
34.63,704.25,-0.58
34.89,704.26,0.73
34.97,704.27,0.24
34.94,704.28,-0.08
34.98,704.29,0.09
34.74,704.3,-0.66
34.93,704.31,0.52
34.68,704.32,-0.7
34.33,704.33,-0.99
34.31,704.34,-0.05
34.25,704.35,-0.18
34.37,704.36,0.35
34.6,704.37,0.64
34.74,704.38,0.4
34.86,704.39,0.36
35.12,704.4,0.73
35.02,704.41,-0.29
34.91,704.42,-0.3
34.76,704.43,-0.42
34.88,704.44,0.32
34.97,704.45,0.27
34.72,704.46,-0.73
34.35,704.47,-1.03
33.94,704.48,-1.18
33.79,704.49,-0.44
33.74,704.5,-0.12
