Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
0.0,4.51,-0.27
0.0,4.52,0.26
0.0,4.53,-0.09
0.0,4.54,0.29
0.0,4.55,0.54
0.0,4.56,-0.59
0.0,4.57,0.25
0.0,4.58,-0.44
0.0,4.59,0.69
0.0,4.6,-0.73
0.0,4.61,-0.04
0.0,4.62,0.12
0.0,4.63,0.3
0.0,4.64,0.39
0.0,4.65,-0.37
0.0,4.66,-0.58
0.0,4.67,0.37
0.0,4.68,0.48
0.0,4.69,0.45
0.0,4.7,-0.84
0.0,4.71,-0.28
0.0,4.72,-0.07
0.0,4.73,0.18
0.0,4.74,0.22
0.0,4.75,-0.18
0.0,4.76,-0.37
0.0,4.77,0.32
0.0,4.78,0.52
0.0,4.79,-0.69
0.0,4.8,0.22
0.0,4.81,-0.08
0.0,4.82,-0.12
0.0,4.83,0.05
0.0,4.84,0.37
0.0,4.85,-0.14
0.0,4.86,0.0
0.0,4.87,0.17
0.0,4.88,0.09
0.0,4.89,-0.29
0.0,4.9,-0.12
0.0,4.91,0.18
0.0,4.92,-0.56
0.0,4.93,0.58
0.0,4.94,-0.44
0.0,4.95,0.45
0.0,4.96,1.29
0.0,4.97,-0.08
0.0,4.98,-0.97
0.0,4.99,-0.65
0.0,5.0,0.22
0.0,5.01,0.45
0.0,5.02,-0.03
0.0,5.03,0.22
0.0,5.04,-0.33
0.0,5.05,0.16
0.0,5.06,-0.26
0.0,5.07,-0.14
0.0,5.08,0.01
0.0,5.09,0.05
0.0,5.1,-0.41
0.0,5.11,0.37
0.0,5.12,0.73
0.0,5.13,-0.49
0.0,5.14,-0.53
0.0,5.15,-0.2
0.0,5.16,0.23
0.0,5.17,0.05
0.0,5.18,-0.11
0.0,5.19,-0.2
0.0,5.2,0.14
0.0,5.21,0.25
0.0,5.22,-0.16
0.0,5.23,-0.01
0.0,5.24,0.33
0.0,5.25,0.07
0.0,5.26,-0.05
0.0,5.27,0.3
0.0,5.28,-0.11
0.0,5.29,-0.69
0.0,5.3,1.17
0.0,5.31,0.13
0.0,5.32,-0.19
0.0,5.33,-1.18
0.0,5.34,0.79
0.0,5.35,-0.6
0.0,5.36,0.54
0.0,5.37,0.87
0.0,5.38,0.0
0.0,5.39,-0.45
0.0,5.4,0.06
0.0,5.41,0.05
0.0,5.42,-1.05
0.0,5.43,0.0
0.0,5.44,0.78
0.0,5.45,0.47
0.0,5.46,-1.03
0.0,5.47,-0.35
0.0,5.48,0.05
0.0,5.49,0.55
0.0,5.5,-0.07
0.0,5.51,-0.5
0.0,5.52,0.35
0.0,5.53,0.39
0.0,5.54,0.39
0.0,5.55,-0.22
0.0,5.56,-0.63
0.0,5.57,0.31
0.0,5.58,0.13
0.0,5.59,-0.35
0.0,5.6,0.05
0.0,5.61,-0.49
0.0,5.62,0.8
0.0,5.63,-0.19
0.0,5.64,0.78
0.0,5.65,-0.37
0.0,5.66,-0.42
0.0,5.67,-0.29
0.0,5.68,0.6
0.0,5.69,-0.25
0.0,5.7,0.56
0.0,5.71,0.38
0.0,5.72,0.48
0.0,5.73,-0.95
0.0,5.74,-0.81
0.0,5.75,-0.22
0.0,5.76,0.54
0.0,5.77,-0.19
0.0,5.78,0.8
0.0,5.79,-0.01
0.0,5.8,0.11
0.0,5.81,-0.48
0.0,5.82,0.09
0.0,5.83,-0.52
0.0,5.84,0.68
0.0,5.85,-0.52
0.0,5.86,-0.13
0.0,5.87,0.01
0.0,5.88,-0.12
0.0,5.89,0.13
0.0,5.9,1.25
0.0,5.91,-0.18
0.0,5.92,-0.35
0.0,5.93,-0.73
0.0,5.94,-0.2
0.0,5.95,0.12
0.0,5.96,0.7
0.0,5.97,0.16
0.0,5.98,-0.16
0.0,5.99,0.71
0.0,6.0,0.0
0.0,6.01,-1.09
0.0,6.02,0.05
0.0,6.03,0.06
0.0,6.04,1.38
0.0,6.05,-0.75
0.0,6.06,-0.15
0.0,6.07,-0.72
0.0,6.08,-0.02
0.0,6.09,-0.07
0.0,6.1,0.07
0.0,6.11,0.42
0.0,6.12,-0.35
0.0,6.13,0.29
0.0,6.14,-0.05
0.0,6.15,0.57
0.0,6.16,-0.37
0.0,6.17,-0.34
0.0,6.18,0.18
0.0,6.19,0.35
0.0,6.2,0.1
0.0,6.21,-0.7
0.0,6.22,-0.54
0.0,6.23,-0.17
0.0,6.24,0.2
0.0,6.25,-0.05
0.0,6.26,0.23
0.0,6.27,0.56
0.0,6.28,-0.68
0.0,6.29,0.08
0.0,6.3,0.23
0.0,6.31,0.02
0.0,6.32,-0.33
0.0,6.33,0.57
0.0,6.34,-0.16
0.0,6.35,-0.29
0.0,6.36,-0.18
0.0,6.37,0.42
0.0,6.38,0.23
0.0,6.39,-0.27
0.0,6.4,-0.38
0.0,6.41,0.47
0.0,6.42,0.25
0.0,6.43,0.37
