Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
0.0,2.52,0.11
0.0,2.53,0.54
0.0,2.54,0.13
0.0,2.55,1.08
0.0,2.56,-1.48
0.0,2.57,-0.67
0.0,2.58,0.16
0.0,2.59,0.51
0.0,2.6,-0.16
0.0,2.61,-0.44
0.0,2.62,-0.07
0.0,2.63,1.14
0.0,2.64,0.84
0.0,2.65,-0.37
0.0,2.66,-1.76
0.0,2.67,0.99
0.0,2.68,-0.01
0.0,2.69,0.46
0.0,2.7,-0.01
0.0,2.71,-1.36
0.0,2.72,0.59
0.0,2.73,-0.58
0.0,2.74,0.7
0.0,2.75,-0.09
0.0,2.76,0.18
0.0,2.77,0.46
0.0,2.78,0.01
0.0,2.79,-0.12
0.0,2.8,-0.2
0.0,2.81,-0.08
0.0,2.82,-0.91
0.0,2.83,0.08
0.0,2.84,0.22
0.0,2.85,-0.39
0.0,2.86,0.82
0.0,2.87,-0.41
0.0,2.88,0.25
0.0,2.89,0.09
0.0,2.9,-0.11
0.0,2.91,-0.61
0.0,2.92,-0.01
0.0,2.93,0.22
0.0,2.94,-0.12
0.0,2.95,0.18
0.0,2.96,0.76
0.0,2.97,-0.14
0.0,2.98,-0.11
0.0,2.99,-0.39
0.0,3.0,-0.04
0.0,3.01,0.21
0.0,3.02,-0.45
0.0,3.03,0.31
0.0,3.04,-0.16
0.0,3.05,-0.05
0.0,3.06,0.01
0.0,3.07,0.32
0.0,3.08,-0.44
0.0,3.09,0.08
0.0,3.1,0.15
0.0,3.11,-0.22
0.0,3.12,0.16
0.0,3.13,0.24
0.0,3.14,-0.35
0.0,3.15,0.49
0.0,3.16,-0.04
0.0,3.17,-0.32
0.0,3.18,-0.42
0.0,3.19,0.72
0.0,3.2,-0.39
0.0,3.21,0.34
0.0,3.22,0.78
0.0,3.23,0.52
0.0,3.24,-0.96
0.0,3.25,-0.06
0.0,3.26,-0.75
0.0,3.27,0.52
0.0,3.28,0.08
0.0,3.29,0.0
0.0,3.3,-0.43
0.0,3.31,0.85
0.0,3.32,0.33
0.0,3.33,-0.1
0.0,3.34,-0.25
0.0,3.35,0.34
0.0,3.36,-0.82
0.0,3.37,-0.07
0.0,3.38,0.18
0.0,3.39,0.29
0.0,3.4,0.12
0.0,3.41,-0.77
0.0,3.42,-0.25
0.0,3.43,0.56
0.0,3.44,0.59
0.0,3.45,0.01
0.0,3.46,-0.53
0.0,3.47,-0.56
0.0,3.48,0.37
0.0,3.49,0.33
0.0,3.5,0.12
0.0,3.51,-0.47
0.0,3.52,-0.15
0.0,3.53,0.16
0.0,3.54,0.06
0.0,3.55,-0.02
0.0,3.56,0.39
0.0,3.57,0.1
0.0,3.58,-0.53
0.0,3.59,0.38
0.0,3.6,-0.28
0.0,3.61,0.1
0.0,3.62,0.31
0.0,3.63,0.45
0.0,3.64,-0.75
0.0,3.65,-0.78
0.0,3.66,-0.04
0.0,3.67,0.7
0.0,3.68,0.43
0.0,3.69,-0.57
0.0,3.7,0.81
0.0,3.71,0.11
0.0,3.72,-0.07
0.0,3.73,-0.34
0.0,3.74,0.38
0.0,3.75,-1.1
0.0,3.76,0.41
0.0,3.77,0.85
0.0,3.78,-0.21
0.0,3.79,0.46
0.0,3.8,-0.97
0.0,3.81,-0.07
0.0,3.82,-0.19
0.0,3.83,0.94
0.0,3.84,-0.67
0.0,3.85,0.14
0.0,3.86,0.32
0.0,3.87,0.42
0.0,3.88,-1.52
0.0,3.89,0.03
0.0,3.9,-0.1
0.0,3.91,-0.05
0.0,3.92,-0.11
0.0,3.93,1.26
0.0,3.94,-0.98
0.0,3.95,0.78
0.0,3.96,-0.31
0.0,3.97,-0.36
0.0,3.98,0.5
0.0,3.99,0.26
0.0,4.0,-0.26
0.0,4.01,0.25
0.0,4.02,-0.59
0.0,4.03,-0.43
0.0,4.04,0.35
0.0,4.05,0.04
0.0,4.06,-0.17
0.0,4.07,0.93
0.0,4.08,0.47
0.0,4.09,-0.28
0.0,4.1,0.07
0.0,4.11,-0.7
0.0,4.12,-0.73
0.0,4.13,0.37
0.0,4.14,0.36
0.0,4.15,-0.07
0.0,4.16,0.36
0.0,4.17,-0.66
0.0,4.18,-0.15
0.0,4.19,0.23
0.0,4.2,-0.19
0.0,4.21,0.04
0.0,4.22,-0.25
0.0,4.23,0.12
0.0,4.24,-0.19
0.0,4.25,-0.17
0.0,4.26,0.1
0.0,4.27,0.51
0.0,4.28,-0.22
0.0,4.29,0.32
0.0,4.3,0.74
0.0,4.31,-0.32
0.0,4.32,-0.7
0.0,4.33,0.16
0.0,4.34,0.23
0.0,4.35,-0.07
0.0,4.36,-0.01
